time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.644995,0.000021,-0.003389,-0.000037
0.649995,0.000021,-0.003256,-0.000014
0.654995,0.000020,-0.003048,0.000025
0.659995,0.000017,-0.002909,0.000051
0.664995,0.000013,-0.002693,0.000061
0.669995,0.000010,-0.002547,0.000051
0.674995,0.000009,-0.002305,0.000036
0.679995,0.000008,-0.002130,0.000018
0.684995,0.000008,-0.001863,-0.000000
0.689995,0.000008,-0.001668,-0.000012
0.694995,0.000006,-0.001401,-0.000038
0.699995,0.000003,-0.001249,-0.000066
0.704994,-0.000001,-0.001019,-0.000071
0.709994,-0.000003,-0.000864,-0.000056
0.714994,-0.000007,-0.000647,-0.000034
0.719994,-0.000010,-0.000517,-0.000033
0.724994,-0.000013,-0.000346,-0.000006
0.729994,-0.000014,-0.000236,0.000030
0.734994,-0.000015,-0.000087,0.000075
0.739994,-0.000014,0.000025,0.000070
0.744994,-0.000015,0.000193,0.000048
0.749994,-0.000015,0.000305,0.000028
0.754994,-0.000016,0.000479,0.000007
0.759994,-0.000016,0.000604,-0.000005
0.764994,-0.000017,0.000773,-0.000031
0.769994,-0.000018,0.000877,-0.000036
0.774994,-0.000020,0.001021,-0.000029
0.779994,-0.000021,0.001111,-0.000017
0.784993,-0.000023,0.001232,0.000008
0.789993,-0.000024,0.001322,0.000025
0.794993,-0.000025,0.001437,0.000051
0.799993,-0.000026,0.001517,0.000071
0.804993,-0.000026,0.001608,0.000098
0.809993,-0.000026,0.001658,0.000102
0.814993,-0.000026,0.001716,0.000084
0.819993,-0.000025,0.001738,0.000083
0.824993,-0.000024,0.001780,0.000086
0.829993,-0.000025,0.001785,0.000086
0.834993,-0.000027,0.001786,0.000068
0.839993,-0.000027,0.001783,0.000067
0.844993,-0.000029,0.001797,0.000080
0.849993,-0.000029,0.001813,0.000077
0.854993,-0.000029,0.001841,0.000056
0.859993,-0.000030,0.001841,0.000027
0.864992,-0.000032,0.001823,0.000006
0.869992,-0.000032,0.001816,-0.000006
0.874992,-0.000033,0.001795,-0.000014
0.879992,-0.000034,0.001788,-0.000021
0.884992,-0.000036,0.001790,-0.000025
0.889992,-0.000038,0.001789,-0.000032
0.894992,-0.000040,0.001776,-0.000039
0.899992,-0.000042,0.001763,-0.000047
0.904992,-0.000044,0.001740,-0.000056
0.909992,-0.000045,0.001726,-0.000149
0.914992,-0.000048,0.001702,-0.000504
0.919992,-0.000053,0.001680,-0.000915
0.924992,-0.000066,0.001607,-0.001890
0.929992,-0.000078,0.001572,-0.002752
0.934992,-0.000105,0.001533,-0.004295
0.939991,-0.000129,0.001488,-0.005447
0.944991,-0.000171,0.001405,-0.007160
0.949991,-0.000202,0.001344,-0.008171
0.954991,-0.000249,0.001255,-0.009387
0.959991,-0.000280,0.001192,-0.009925
0.964991,-0.000316,0.001081,-0.010306
0.969991,-0.000337,0.001011,-0.010303
0.974991,-0.000360,0.000902,-0.009960
0.979991,-0.000375,0.000844,-0.009566
0.984991,-0.000393,0.000770,-0.008819
0.989991,-0.000404,0.000730,-0.008257
0.994991,-0.000423,0.000691,-0.007385
0.999991,-0.000440,0.000681,-0.006813
1.004991,-0.000464,0.000675,-0.006014
1.009991,-0.000479,0.000670,-0.005535
1.014991,-0.000491,0.000645,-0.004949
1.019992,-0.000494,0.000621,-0.004639
1.024992,-0.000496,0.000590,-0.004278
1.029992,-0.000487,0.000552,-0.004108
1.034992,-0.000471,0.000490,-0.003934
1.039993,-0.000455,0.000444,-0.003860
1.044993,-0.000424,0.000370,-0.003773
1.049993,-0.000393,0.000304,-0.003727
1.054993,-0.000343,0.000204,-0.003532
1.059994,-0.000305,0.000136,-0.003191
1.064994,-0.000244,0.000037,-0.002222
1.069994,-0.000208,-0.000018,-0.001269
1.074994,-0.000153,-0.000096,0.000538
1.079994,-0.000116,-0.000148,0.001956
1.084995,-0.000071,-0.000209,0.004318
1.089995,-0.000041,-0.000252,0.005993
1.094995,-0.000002,-0.000317,0.008583
1.099995,0.000022,-0.000362,0.010335
1.104996,0.000041,-0.000411,0.012952
1.109996,0.000049,-0.000440,0.014568
1.114996,0.000047,-0.000461,0.016503
1.119996,0.000038,-0.000459,0.017338
1.124997,0.000022,-0.000440,0.017877
1.129997,0.000009,-0.000415,0.017806
1.134997,-0.000004,-0.000380,0.017140
1.139997,-0.000010,-0.000346,0.016409
1.144997,-0.000011,-0.000278,0.015003
1.149998,-0.000006,-0.000232,0.013962
1.154998,0.000004,-0.000177,0.012318
1.159998,0.000012,-0.000152,0.011189
1.164998,0.000024,-0.000123,0.009510
1.169999,0.000029,-0.000126,0.008457
1.174999,0.000034,-0.000136,0.007052
1.179999,0.000035,-0.000144,0.006263
1.184999,0.000035,-0.000160,0.005309
1.190000,0.000039,-0.000153,0.004833
1.195000,0.000042,-0.000149,0.004356
1.200000,0.000036,-0.000170,0.004168
1.205000,0.000025,-0.000203,0.004055
1.210001,0.000020,-0.000218,0.004038
1.215001,-0.000001,-0.000267,0.004044
1.220001,-0.000015,-0.000302,0.004045
1.225001,-0.000035,-0.000350,0.004035
1.230001,-0.000048,-0.000378,0.004015
1.235002,-0.000062,-0.000402,0.003949
1.240002,-0.000069,-0.000411,0.003882
1.245002,-0.000068,-0.000401,0.003741
1.250002,-0.000060,-0.000384,0.003624
1.255003,-0.000066,-0.000387,0.003410
1.260003,-0.000073,-0.000396,0.003255
1.265003,-0.000080,-0.000403,0.003016
1.270003,-0.000075,-0.000393,0.002868
1.275004,-0.000069,-0.000382,0.002678
1.280004,-0.000066,-0.000378,0.002584
1.285004,-0.000072,-0.000381,0.002396
1.290004,-0.000081,-0.000392,0.002188
1.295004,-0.000073,-0.000381,0.001769
1.300005,-0.000062,-0.000365,0.001430
1.305005,-0.000047,-0.000343,0.000840
1.310005,-0.000044,-0.000337,0.000381
1.315005,-0.000064,-0.000363,-0.000332
1.320006,-0.000087,-0.000393,-0.000808
1.325006,-0.000121,-0.000439,-0.001496
1.330006,-0.000137,-0.000462,-0.001944
1.335006,-0.000149,-0.000480,-0.002563
1.340007,-0.000159,-0.000499,-0.002930
1.345007,-0.000161,-0.000509,-0.003389
1.350007,-0.000155,-0.000504,-0.003655
1.355007,-0.000146,-0.000496,-0.003992
1.360008,-0.000149,-0.000505,-0.004192
1.365008,-0.000153,-0.000524,-0.004431
1.370008,-0.000152,-0.000531,-0.004547
1.375008,-0.000132,-0.000509,-0.004663
1.380008,-0.000120,-0.000497,-0.004716
1.385009,-0.000106,-0.000489,-0.004784
1.390009,-0.000100,-0.000488,-0.004823
1.395009,-0.000098,-0.000502,-0.004861
1.400009,-0.000099,-0.000516,-0.004881
1.405010,-0.000095,-0.000529,-0.004918
1.410010,-0.000085,-0.000524,-0.004944
1.415010,-0.000064,-0.000506,-0.004964
1.420010,-0.000057,-0.000511,-0.004979
1.425011,-0.000046,-0.000513,-0.005017
1.430011,-0.000039,-0.000513,-0.005048
1.435011,-0.000032,-0.000517,-0.005079
1.440011,-0.000030,-0.000529,-0.005103
1.445011,-0.000036,-0.000578,-0.005126
1.450012,-0.000038,-0.000606,-0.005133
1.455012,-0.000035,-0.000626,-0.005127
1.460012,-0.000029,-0.000631,-0.005118
1.465012,-0.000018,-0.000629,-0.005081
1.470013,-0.000008,-0.000617,-0.005034
1.475013,0.000006,-0.000595,-0.004968
1.480013,0.000014,-0.000583,-0.004927
1.485013,0.000023,-0.000575,-0.004854
1.490014,0.000031,-0.000556,-0.004804
1.495014,0.000046,-0.000504,-0.004685
1.500014,0.000054,-0.000460,-0.004593
1.505014,0.000066,-0.000387,-0.004461
1.510015,0.000073,-0.000344,-0.004371
1.515015,0.000081,-0.000308,-0.004239
1.520015,0.000084,-0.000287,-0.004155
1.525015,0.000088,-0.000272,-0.004012
1.530015,0.000090,-0.000284,-0.003936
1.535016,0.000093,-0.000299,-0.003841
1.540016,0.000094,-0.000292,-0.003769
1.545016,0.000094,-0.000284,-0.003647
1.550016,0.000096,-0.000282,-0.003545
1.555017,0.000098,-0.000285,-0.003365
1.560017,0.000099,-0.000281,-0.003239
1.565017,0.000099,-0.000298,-0.003048
1.570017,0.000098,-0.000300,-0.002900
1.575018,0.000094,-0.000298,-0.002673
1.580018,0.000092,-0.000301,-0.002525
1.585018,0.000091,-0.000305,-0.002334
1.590018,0.000091,-0.000315,-0.002222
1.595019,0.000093,-0.000330,-0.002074
1.600019,0.000093,-0.000325,-0.001968
1.605019,0.000092,-0.000318,-0.001794
1.610019,0.000088,-0.000291,-0.001682
1.615019,0.000083,-0.000257,-0.001512
1.620020,0.000081,-0.000244,-0.001414
1.625020,0.000076,-0.000209,-0.001236
1.630020,0.000069,-0.000171,-0.001117
1.635020,0.000051,-0.000088,-0.000975
1.640021,0.000037,-0.000027,-0.000888
1.645021,0.000021,0.000034,-0.000735
1.650021,0.000015,0.000057,-0.000637
1.655021,0.000002,0.000107,-0.000489
1.660022,-0.000004,0.000134,-0.000369
1.665022,-0.000007,0.000151,-0.000188
1.670022,-0.000009,0.000165,-0.000055
1.675022,-0.000009,0.000168,0.000138
1.680022,-0.000006,0.000156,0.000254
1.685023,0.000004,0.000112,0.000378
1.690023,0.000015,0.000064,0.000450
1.695023,0.000027,0.000010,0.000564
1.700023,0.000033,-0.000017,0.000632
1.705024,0.000042,-0.000055,0.000731
1.710024,0.000044,-0.000065,0.000791
1.715024,0.000047,-0.000078,0.000870
1.720024,0.000051,-0.000096,0.000921
1.725025,0.000052,-0.000096,0.000989
1.730025,0.000049,-0.000079,0.001025
1.735025,0.000037,-0.000023,0.001089
1.740025,0.000031,0.000008,0.001127
1.745026,0.000023,0.000044,0.001203
1.750026,0.000018,0.000075,0.001257
1.755026,0.000019,0.000078,0.001348
1.760026,0.000023,0.000065,0.001404
1.765026,0.000026,0.000047,0.001475
1.770027,0.000029,0.000028,0.001511
1.775027,0.000030,0.000017,0.001550
1.780027,0.000030,0.000019,0.001565
1.785027,0.000029,0.000033,0.001596
1.790028,0.000029,0.000041,0.001613
1.795028,0.000031,0.000035,0.001644
1.800028,0.000030,0.000041,0.001646
1.805028,0.000031,0.000035,0.001636
1.810029,0.000031,0.000041,0.001581
1.815029,0.000017,0.000153,0.001297
1.820029,-0.000005,0.000336,0.000959
1.825029,-0.000053,0.000737,0.000244
1.830029,-0.000094,0.001088,-0.000389
1.835030,-0.000176,0.001716,-0.001510
1.840030,-0.000249,0.002208,-0.002329
1.845030,-0.000389,0.003008,-0.003652
1.850030,-0.000513,0.003597,-0.004554
1.855031,-0.000752,0.004515,-0.005879
1.860031,-0.000956,0.005145,-0.006718
1.865031,-0.001320,0.006034,-0.007792
1.870031,-0.001589,0.006543,-0.008336
1.875032,-0.002011,0.007137,-0.008852
1.880032,-0.002297,0.007432,-0.009016
1.885032,-0.002717,0.007727,-0.009065
1.890032,-0.002977,0.007817,-0.008997
1.895033,-0.003327,0.007825,-0.008759
1.900033,-0.003526,0.007748,-0.008539
1.905033,-0.003750,0.007497,-0.008138
1.910033,-0.003850,0.007263,-0.007865
1.915033,-0.003951,0.006871,-0.007470
1.920034,-0.003990,0.006595,-0.007251
1.925034,-0.003989,0.006139,-0.006979
1.930034,-0.003957,0.005822,-0.006796
1.935034,-0.003856,0.005334,-0.006344
1.940035,-0.003728,0.004973,-0.005835
1.945035,-0.003366,0.004304,-0.004628
1.950035,-0.003015,0.003793,-0.003527
1.955035,-0.002322,0.002930,-0.001539
1.960036,-0.001757,0.002288,-0.000018
1.965036,-0.000795,0.001235,0.002465
1.970036,-0.000100,0.000464,0.004211
1.975036,0.000965,-0.000802,0.006843
1.980036,0.001666,-0.001741,0.008557
1.985037,0.002614,-0.003263,0.010963
1.990037,0.003146,-0.004362,0.012439
1.995037,0.003730,-0.006112,0.014382
2.000037,0.003949,-0.007322,0.015491
2.005037,0.004004,-0.009193,0.016858
2.010037,0.003853,-0.010456,0.017537
2.015036,0.003335,-0.012229,0.018004
2.020036,0.002822,-0.013223,0.017927
2.025036,0.001894,-0.014331,0.017257
2.030035,0.001235,-0.014814,0.016545
2.035035,0.000270,-0.015189,0.015257
2.040035,-0.000325,-0.015240,0.014311
2.045034,-0.001109,-0.015026,0.012871
2.050034,-0.001546,-0.014722,0.011951
2.055033,-0.002066,-0.014052,0.010696
2.060033,-0.002324,-0.013496,0.009950
2.065033,-0.002580,-0.012535,0.008970
2.070032,-0.002665,-0.011818,0.008407
2.075032,-0.002681,-0.010685,0.007663
2.080032,-0.002627,-0.009925,0.007217
2.085031,-0.002474,-0.008816,0.006662
2.090031,-0.002331,-0.008106,0.006388
